nom,longitude,latitude,fonctionnel,secteur,type,materiel,nombe_place,toiture,image,date_creation,zone,trame_verte,aire_repos,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Reposoir 562,1.216683,6.168308,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302671.39241021464 682139.8413104849)
Reposoir 563,1.216628,6.168297,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302665.3002676014 682138.5713958816)
Reposoir 564,1.216693,6.168323,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302672.5048374715 682141.4965406341)
Reposoir 565,1.2169,6.168358,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302695.3932503882 682145.2908603922)
Reposoir 566,1.216867,6.168418,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302691.72585715057 682151.9389343258)
Reposoir 567,1.216832,6.168397,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302687.8437713827 682149.555657241)
Reposoir 568,1.216672,6.168353,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302670.11770296237 682144.8224301034)
Reposoir 569,1.216692,6.16835,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302672.3302243223 682144.4463722546)
Reposoir 570,1.216585,6.168562,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302660.60185330187 682167.8952632642)
Reposoir 571,1.216525,6.16862,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302653.9821771458 682174.3688909633)
Reposoir 572,1.216568,6.16868,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302658.80084562744 682180.9885756759)
Reposoir 573,1.216503,6.168763,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302651.636984546 682190.2289447634)
Reposoir 574,1.216875,6.168398,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302692.6408555864 682149.7239381396)
Reposoir 575,1.21725,6.168103,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:40,AZONDJAGNI Yao Divin ,2024-11-01 23:42:40,POINT (302734.0396321175 682116.959428464)
