nom,longitude,latitude,fonctionnel,secteur,source,image,date_creation,zone,trame_verte,batiment,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
robinet 218,1.214132,6.169445,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:38,ADIKA Afi Cathérine ,2024-11-03 20:17:38,POINT (302389.37519200495 682266.4973079986)
robinet 219,1.21411,6.169515,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:38,ADIKA Afi Cathérine ,2024-11-03 20:17:38,POINT (302387.00290110125 682274.2470430878)
Points eau ,1.213152,6.176684,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:13,Abel ,2024-11-03 20:21:13,POINT (302283.67565631866 683067.4965421428)
robinet 220,1.214082,6.170028,True,Campus Sud,Forage,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:38,Saguintaah ,2024-11-03 20:17:38,POINT (302384.1268942549 682330.9671066357)
robinet 221,1.214201,6.169932,True,Campus Sud,Forage,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:38,Saguintaah ,2024-11-03 20:17:38,POINT (302397.2762316207 682320.3610338323)
robinet 222,1.213985,6.169828,True,Campus Sud,Forage,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:38,Saguintaah ,2024-11-03 20:17:38,POINT (302373.2314164083 682308.9450593715)
robinet 223,1.213964,6.169946,True,Campus Sud,Forage,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:38,Saguintaah ,2024-11-03 20:17:38,POINT (302371.05579287454 682321.9806715171)
robinet 224,1.213726,6.169945,True,Campus Sud,Forage,,,Zone de Coopération,,,limite UL,2024-11-03 20:17:38,Saguintaah ,2024-11-03 20:17:38,POINT (302344.620775113 682321.9975699477)
robinet 225,1.213762,6.169827,True,Campus Sud,Forage,,,Zone de Coopération,,,limite UL,2024-11-03 20:17:38,Saguintaah ,2024-11-03 20:17:38,POINT (302348.5564424992 682308.8422226197)
robinet 226,1.213671,6.169799,True,Campus Sud,Forage,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:38,Saguintaah ,2024-11-03 20:17:38,POINT (302338.570409232 682305.8088578853)
robinet 227,1.213649,6.169914,True,Campus Sud,Forage,,,Zone de Coopération,,,limite UL,2024-11-03 20:17:38,Saguintaah ,2024-11-03 20:17:38,POINT (302336.12303034053 682318.5504050592)
point d'eau 1,1.21541,6.175741,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:08,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:08,POINT (302533.18032091507 682962.3213709225)
point d'eau 2,1.214963,6.175563,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:08,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:08,POINT (302483.6709794479 682942.8674468199)
point d'eau 3,1.213834,6.17549,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:08,Abel ,2024-11-03 20:21:08,POINT (302358.69199239806 682935.1311614142)
point d'eau 4,1.213846,6.17507,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:08,Abel,2024-11-03 20:21:08,POINT (302359.8655061969 682888.6731747475)
point d'eau 5,1.214367,6.174339,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:08,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:08,POINT (302417.24104925897 682807.6365844541)
point d'eau 6,1.214046,6.173779,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:08,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:08,POINT (302381.4899221207 682745.8995887142)
point d'eau 7,1.213811,6.173707,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:08,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:08,POINT (302355.44508452766 682737.9940884195)
point d'eau 8,1.213652,6.174068,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:08,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:08,POINT (302337.9411251759 682777.9982147097)
